frame,body_angle,hip_shoulder_vertical_diff,hip_ankle_vertical_diff,head_position_ratio,shoulder_elbow_angle,wrist_shoulder_hip_angle
86,159.37904702694175,-0.014670252799987793,-0.04295891523361206,0.09288078546524048,97.70914504505663,108.56344995407107
87,159.28287302763283,-0.014612793922424316,-0.04320371150970459,0.09289765357971191,97.78669435249952,108.48981086624113
88,159.1487236866605,-0.014058232307434082,-0.04393124580383301,0.09337329864501953,97.67585483441366,108.23133918243974
89,159.12639155315347,-0.01387876272201538,-0.04406893253326416,0.09349644184112549,97.66207440242204,108.16542012428704
90,159.20565776849824,-0.013732969760894775,-0.04398256540298462,0.09347212314605713,97.65783862747679,108.12317592898017
91,159.3386774021531,-0.013436377048492432,-0.043867290019989014,0.09332674741744995,97.69475220278974,108.06461109707666
92,159.60763104289725,-0.012629330158233643,-0.04378992319107056,0.09318488836288452,97.46015534133414,107.82278740968269
93,159.42176002848362,-0.012723982334136963,-0.044848501682281494,0.09240442514419556,97.5743481002246,107.99363252421807
94,159.46646111180337,-0.013044416904449463,-0.04485630989074707,0.0914507508277893,97.86786129303817,108.27210307391499
95,159.9492885328127,-0.012717485427856445,-0.0440974235534668,0.09074258804321289,97.97176913949875,108.39656482330619
96,160.3787421516603,-0.012159228324890137,-0.04362034797668457,0.09040707349777222,97.87208424922687,108.2751549049242
97,160.72387233808954,-0.011867702007293701,-0.043002188205718994,0.08976823091506958,97.72557282874646,108.246484929753
98,160.7818740956377,-0.011904418468475342,-0.04286235570907593,0.08956485986709595,97.71911674394477,108.2552736689162
99,160.87402670288017,-0.01182645559310913,-0.04266577959060669,0.08939367532730103,97.68296798073942,108.22291729715317
100,161.0639030221996,-0.011728286743164062,-0.04227226972579956,0.08927088975906372,97.54611438807046,108.12263864738895
101,161.07722735169733,-0.01174938678741455,-0.04223817586898804,0.08922916650772095,97.52410045784643,108.07103414166633
102,161.0993614655341,-0.011818349361419678,-0.04213666915893555,0.08914291858673096,97.5341249061438,108.05677508075155
103,161.3296865977093,-0.011726796627044678,-0.041583895683288574,0.08884537220001221,97.488461620365,108.00686994140196
104,161.85010185915132,-0.011099100112915039,-0.04065769910812378,0.08867216110229492,97.21506320406985,107.74047371784334
105,162.2106996990631,-0.010947227478027344,-0.03978455066680908,0.08831793069839478,97.14560820158994,107.67531403288353
106,162.45261866620095,-0.010887622833251953,-0.039198458194732666,0.08794993162155151,97.09198948751822,107.63248130392671
107,162.64539670600666,-0.010994136333465576,-0.03859555721282959,0.08729439973831177,97.06005477434877,107.6913930103515
108,162.7084449809953,-0.011275172233581543,-0.03821748495101929,0.0865926742553711,97.47557736709172,107.77729134410694
109,163.3432678848045,-0.010754704475402832,-0.03684580326080322,0.08564931154251099,97.29879103423588,107.66437974477441
110,163.4140001447274,-0.011118292808532715,-0.036239564418792725,0.08464193344116211,97.4049989502899,107.82337513160053
111,163.26911531956944,-0.011663973331451416,-0.03608196973800659,0.08398687839508057,97.56607281134899,108.03353594714903
112,163.19127128527043,-0.012021064758300781,-0.03597050905227661,0.08355271816253662,97.68679281695194,108.20154958102077
113,163.20053581579268,-0.012166321277618408,-0.03581428527832031,0.0832517147064209,97.98189095651821,108.30878362797881
114,163.16922768495715,-0.012380659580230713,-0.03571051359176636,0.08313113451004028,98.03824728493294,108.41645604928357
115,163.2589044835419,-0.012649118900299072,-0.03537154197692871,0.08308708667755127,98.10253809954145,108.49631391081945
116,163.0792148357366,-0.013244867324829102,-0.03542685508728027,0.08318120241165161,98.23829972645984,108.64873480545111
117,162.6450035404685,-0.013845384120941162,-0.03617185354232788,0.0834464430809021,98.40149556902821,108.79497579241146
118,162.46194241539695,-0.013777434825897217,-0.03680276870727539,0.08423227071762085,98.35997110949569,108.63218257552401
119,162.2466074888726,-0.013973832130432129,-0.03724557161331177,0.08468711376190186,98.44725947992822,108.62304613816494
